State,Division,Candidate,Party,Votes,Percent
QLD,Herbert,"PATERSON, Frederick",IND,11104,18.3
QLD,Kennedy,"RIORDAN, William",ALP,29988,64.2
QLD,Kennedy,"SIMMONDS, Wilfred",CP,16706,35.8
QLD,Lilley,"JOLLY, William",UAP,35047,58.1
QLD,Lilley,"LOVELL, Gordon",ALP,23485,38.9
QLD,Lilley,"MITCHELL, Charles",IND,1800,3.0
QLD,Maranoa,"BAKER, Francis",ALP,24105,47.9
QLD,Maranoa,"MADDEN, Henry",IND,3808,7.6
QLD,Maranoa,"MCGEOCH, Robert",CP,22452,44.6
QLD,Moreton,"FRANCIS, Hon Josiah",UAP,36265,59.3
QLD,Moreton,"HERBERT, Henry",ALP,24938,40.7
QLD,Wide Bay,"CORSER, Bernard",CP,28693,54.9
QLD,Wide Bay,"REX, John",IND,8300,15.9
QLD,Wide Bay,"ROUND, Samuel",ALP,15305,29.3
SA,Adelaide,"DAVIS, Raymond",IND,4906,8.3
SA,Adelaide,"DAWES, Edgar",ALP,19950,33.9
SA,Adelaide,"EDWARDS, Bert",IND,4587,7.8
SA,Adelaide,"STACEY, Fred",UAP,29393,50.0
SA,Barker,"CAMERON, Hon Archie",CP,34649,58.6
SA,Barker,"LLOYD, Charles",IND,8659,14.7
SA,Barker,"SKITCH, Cecil",ALP,15786,26.7
SA,Boothby,"ADEY, William",IND,9479,14.6
SA,Boothby,"PRICE, John",UAP,37219,57.4
SA,Boothby,"YATES, Edwin",ALP,18131,28.0
SA,Grey,"BADMAN, Albert",CP,25683,52.8
SA,Grey,"DAVIS, Charles",ALP,18178,37.4
SA,Grey,"MCFARLANE, Percy",IND,4790,9.8
SA,Hindmarsh,"HATWELL, Harry",UAP,21758,34.3
SA,Hindmarsh,"MAKIN, Hon Norman",ALP,41718,65.7
SA,Wakefield,"DUNCAN-HUGHES, John",UAP,27357,53.4
SA,Wakefield,"MCHUGH, Sydney",ALP,23870,46.6
WA,Forrest,"GREEN, Vane",ALP,19832,44.6
WA,Forrest,"PROWSE, John",CP,24619,55.4
WA,Fremantle,"CLARKE, Guildford",IND,3344,5.9
WA,Fremantle,"CURTIN, John",ALP,27299,48.0
WA,Fremantle,"LEE, Frederick",UAP,26274,46.2
WA,Kalgoorlie,"GREEN, Hon Albert",ALP,Unopposed,100.0
WA,Perth,"BOLITHO, James",IND,3326,6.1
WA,Perth,"MCMILLAN, Gavan",ALP,17144,31.5
WA,Perth,"NAIRN, Walter",UAP,33999,62.4
WA,Swan,"BARKER, Claude",IND,7758,16.6
WA,Swan,"DINAN, James",ALP,13193,28.2
WA,Swan,"GREGORY, Henry",CP,15997,34.2
WA,Swan,"MARWICK, Thomas",CP,8800,18.8
WA,Swan,"TREGENZA, John",IND,986,2.1
TAS,Bass,"BARNARD, Claude",ALP,12009,49.4
TAS,Bass,"FINDLAY, Algernon",UAP,5634,23.2
TAS,Bass,"OLDHAM, Desmond",UAP,5215,21.5
TAS,Bass,"WATSON, John",IND,1452,6.0
TAS,Darwin,"BELL, Hon Sir George",UAP,15896,59.2
TAS,Darwin,"REECE, Eric",ALP,10961,40.8
TAS,Denison,"BECK, Arthur",UAP,12969,51.1
TAS,Denison,"MAHONEY, Gerald",ALP,12433,48.9
TAS,Franklin,"FROST, Charles",ALP,14322,53.5
TAS,Franklin,"WARNER, Hugh",UAP,12466,46.5
TAS,Wilmot,"EDWARDS, Frank",UAP,4913,21.1
TAS,Wilmot,"GUY, Hon Allan",UAP,8301,35.6
TAS,Wilmot,"SPURR, Lancelot",ALP,10113,43.4
